source_file,source_column,staging_entity,proposed_canonical,notes
260312_顧客_太陽光.csv,FAX番号,customer,,
260312_顧客_太陽光.csv,インボイス,customer,,
260312_顧客_太陽光.csv,お客様ID,customer,,
260312_顧客_太陽光.csv,パスワード,customer,,
260312_顧客_太陽光.csv,ﾌﾘｶﾞﾅ,customer,,
260312_顧客_太陽光.csv,メールアドレス,customer,,
260312_顧客_太陽光.csv,ユーザー名,customer,,
260312_顧客_太陽光.csv,業種【小分類】,customer,,
260312_顧客_太陽光.csv,緊急連絡先,customer,,
260312_顧客_太陽光.csv,住所,customer,,
260312_顧客_太陽光.csv,職業,customer,,
260312_顧客_太陽光.csv,申請ID,customer,,
260312_顧客_太陽光.csv,代表者ﾌﾘｶﾞﾅ,customer,,
260312_顧客_太陽光.csv,代表者携帯,customer,,
260312_顧客_太陽光.csv,代表者生年月日,customer,,
260312_顧客_太陽光.csv,担当者ﾌﾘｶﾞﾅ,customer,,
260312_顧客_太陽光.csv,担当者携帯,customer,,
260312_顧客_太陽光.csv,電話番号,customer,,
260312_顧客_太陽光.csv,郵便番号,customer,,
260312_顧客_太陽光.csv,連絡時間,customer,,
260312_顧客_太陽光.csv,連絡先,customer,,
260312_顧客_太陽光.csv,【見積】メーカー,deal,,
260312_顧客_太陽光.csv,【見積】依頼日,deal,,
260312_顧客_太陽光.csv,【見積】到着日,deal,,
260312_顧客_太陽光.csv,【見積】備考,deal,,
260312_顧客_太陽光.csv,FIT許可日,deal,,
260312_顧客_太陽光.csv,FIT申請依頼日,deal,,
260312_顧客_太陽光.csv,ｷｬﾝｾﾙﾌﾗｸﾞ,deal,,
260312_顧客_太陽光.csv,ｷｬﾝｾﾙ日,deal,,
260312_顧客_太陽光.csv,キャンセル理由,deal,,
260312_顧客_太陽光.csv,ｻｰﾋﾞｽ品原価,deal,,
260312_顧客_太陽光.csv,ｻｰﾋﾞｽ品数,deal,,
260312_顧客_太陽光.csv,ｻｰﾋﾞｽ品単価,deal,,
260312_顧客_太陽光.csv,ｻｰﾋﾞｽ品納品,deal,,
260312_顧客_太陽光.csv,ステータス,deal,,
